startDate,value
2020-08-19 19:23:36 -0400,194
2020-08-19 19:23:33 -0400,196
2020-08-19 19:23:30 -0400,196
2020-08-19 19:23:21 -0400,197
2020-08-19 19:23:17 -0400,195
2020-08-19 19:23:12 -0400,193
2020-08-19 19:23:08 -0400,192
2020-08-19 19:23:04 -0400,192
2020-08-19 19:22:57 -0400,192
2020-08-19 19:22:55 -0400,192
2020-08-19 19:22:48 -0400,189
2020-08-19 19:22:42 -0400,191
2020-08-19 19:22:39 -0400,190
2020-08-19 19:22:34 -0400,190
2020-08-19 19:22:30 -0400,190
2020-08-19 19:22:22 -0400,193
2020-08-19 19:22:16 -0400,193
2020-08-19 19:22:15 -0400,194
2020-08-19 19:22:09 -0400,194
2020-08-19 19:22:01 -0400,192
2020-08-19 19:22:00 -0400,192
2020-08-19 19:21:54 -0400,193
2020-08-19 19:21:47 -0400,190
2020-08-19 19:21:45 -0400,189
2020-08-19 19:21:37 -0400,187
2020-08-19 19:21:31 -0400,186
2020-08-19 19:21:26 -0400,187
2020-08-19 19:21:21 -0400,187
2020-08-19 19:21:17 -0400,187
2020-08-19 19:21:11 -0400,186
2020-08-19 19:21:08 -0400,186
2020-08-19 19:21:05 -0400,186
2020-08-19 19:20:57 -0400,185
2020-08-19 19:20:55 -0400,186
2020-08-19 19:20:47 -0400,184
2020-08-19 19:20:42 -0400,183
2020-08-19 19:20:40 -0400,182
2020-08-19 19:20:34 -0400,180
2020-08-19 19:20:29 -0400,179
2020-08-19 19:20:24 -0400,181
2020-08-19 19:20:16 -0400,178
2020-08-19 19:20:13 -0400,177
2020-08-19 19:20:10 -0400,177
2020-08-19 19:20:05 -0400,176
2020-08-19 19:20:00 -0400,176
2020-08-19 19:19:52 -0400,170
2020-08-19 19:19:46 -0400,169
2020-08-19 19:19:45 -0400,168
2020-08-19 19:19:36 -0400,164
2020-08-19 19:19:31 -0400,168
2020-08-19 19:19:30 -0400,169
2020-08-19 19:19:25 -0400,170
2020-08-19 19:19:18 -0400,174
2020-08-19 19:19:15 -0400,176
2020-08-19 19:19:08 -0400,180
2020-08-19 19:19:03 -0400,182
2020-08-19 19:18:59 -0400,185
2020-08-19 19:18:52 -0400,189
2020-08-19 19:18:48 -0400,192
2020-08-19 19:18:45 -0400,194
2020-08-19 19:18:36 -0400,195
2020-08-19 19:18:34 -0400,194
2020-08-19 19:18:26 -0400,192
2020-08-19 19:18:23 -0400,192
